name,id,teamcode,teamid,position
Noel Acciari,8478569,FLA,13,C
Calen Addison,8480884,MIN,30,D
Sebastian Aho,8478427,CAR,12,C
Sebastian Aho,8480222,NYI,2,D
Hugo Alnefelt,8481597,TBL,14,G
Michael Amadio,8478020,VGK,54,C
Frederik Andersen,8475883,CAR,12,G
Mikey Anderson,8479998,LAK,26,D
Craig Anderson,8467950,BUF,7,G
Josh Anderson,8476981,MTL,8,R
Lias Andersson,8480072,LAK,26,C
Rasmus Andersson,8478397,CGY,20,D
Anthony Angello,8478074,PIT,5,R
Mason Appleton,8478891,SEA,55,C
Joel Armia,8476469,MTL,8,R
Viktor Arvidsson,8478042,LAK,26,L
Rasmus Asplund,8479335,BUF,7,C
Zach Aston-Reese,8479944,PIT,5,L
Andreas Athanasiou,8476960,LAK,26,C
Cam Atkinson,8474715,PHI,4,R
Nicolas Aube-Kubel,8477979,COL,21,R
Mikael Backlund,8474150,CGY,20,C
Nicklas Backstrom,8473563,WSH,15,C
Brandon Baddock,8477631,MTL,8,L
Josh Bailey,8474573,NYI,2,R
Rudolfs Balcers,8478870,SJS,28,L
Alexander Barabanov,8482222,SJS,28,L
Ivan Barbashev,8477964,STL,19,C
Aleksander Barkov,8477493,FLA,13,C
Tyson Barrie,8475197,EDM,22,D
Justin Barron,8482111,COL,21,D
Morgan Barron,8480289,NYR,3,C
Mathew Barzal,8478445,NYI,2,C
Nathan Bastian,8479414,NJD,1,R
Drake Batherson,8480208,OTT,9,R
Jay Beagle,8474291,ARI,53,C
Jake Bean,8479402,CBJ,29,D
Ethan Bear,8478451,CAR,12,D
Nathan Beaulieu,8476470,WPG,52,D
Anthony Beauvillier,8478463,NYI,2,L
Pierre-Edouard Bellemare,8477930,TBL,14,L
Kieffer Bellows,8479356,NYI,2,L
Louie Belpedio,8478011,MTL,8,D
Alex Belzile,8475968,MTL,8,R
Emil Bemstrom,8480205,CBJ,29,C
Jamie Benn,8473994,DAL,25,L
Jordie Benn,8474818,MIN,30,D
Sam Bennett,8477935,FLA,13,C
Matt Benning,8476988,NSH,18,D
Simon Benoit,8481122,ANA,24,D
Tyler Benson,8479347,EDM,22,L
Patrice Bergeron,8470638,BOS,6,C
Jonathan Bernier,8473541,NJD,1,G
Tyler Bertuzzi,8477479,DET,17,L
J-F Berube,8475234,CBJ,29,G
Alex Biega,8473415,TOR,10,D
Jordan Binnington,8476412,STL,19,G
Anders Bjork,8478075,BUF,7,L
Kasper Bjorkqvist,8479512,PIT,5,R
